@RELATION /home/niltonvasques/Documents/ufba/tcc/results/results-fcm-pcm/fcm-opinosis

@ATTRIBUTE window_xp	NUMERIC
@ATTRIBUTE increa_batteri_life	NUMERIC
@ATTRIBUTE easi_read	NUMERIC
@ATTRIBUTE decent_size_screen	NUMERIC
@ATTRIBUTE front_desk	NUMERIC
@ATTRIBUTE servic_good	NUMERIC
@ATTRIBUTE recommend_hotel	NUMERIC
@ATTRIBUTE high_qualiti	NUMERIC
@ATTRIBUTE hotel_good	NUMERIC
@ATTRIBUTE screen_small	NUMERIC
@ATTRIBUTE servic_great	NUMERIC
@ATTRIBUTE keyboard_larg_comfort	NUMERIC
@ATTRIBUTE room_larg	NUMERIC
@ATTRIBUTE life_great	NUMERIC
@ATTRIBUTE room_nice	NUMERIC
@ATTRIBUTE locat_great	NUMERIC
@ATTRIBUTE batteri_life_great	NUMERIC
@ATTRIBUTE pretti_good	NUMERIC
@ATTRIBUTE servic_room	NUMERIC
@ATTRIBUTE keyboard_larg_comfort_type	NUMERIC
@ATTRIBUTE great_locat	NUMERIC
@ATTRIBUTE long_batteri_life	NUMERIC
@ATTRIBUTE comfort_type	NUMERIC
@ATTRIBUTE highli_recommend	NUMERIC
@ATTRIBUTE conveni_locat	NUMERIC
@ATTRIBUTE nice_room	NUMERIC
@ATTRIBUTE hotel_clean	NUMERIC
@ATTRIBUTE clean_room	NUMERIC
@ATTRIBUTE text_speech	NUMERIC
@ATTRIBUTE batteri_life	NUMERIC
@ATTRIBUTE staff_friendli	NUMERIC
@ATTRIBUTE top_notch	NUMERIC
@ATTRIBUTE keyboard_larg	NUMERIC
@ATTRIBUTE light_weight	NUMERIC
@ATTRIBUTE nice_touch	NUMERIC
@ATTRIBUTE comfort_room	NUMERIC
@ATTRIBUTE year_ago	NUMERIC
@ATTRIBUTE larg_comfort_type	NUMERIC
@ATTRIBUTE speed_limit	NUMERIC
@ATTRIBUTE great_hotel	NUMERIC
@ATTRIBUTE nice_featur	NUMERIC
@ATTRIBUTE bed_comfort	NUMERIC
@ATTRIBUTE beauti_room	NUMERIC
@ATTRIBUTE leather_seat	NUMERIC
@ATTRIBUTE keyboard_layout	NUMERIC
@ATTRIBUTE great_featur	NUMERIC
@ATTRIBUTE place_stai	NUMERIC
@ATTRIBUTE usb_port	NUMERIC
@ATTRIBUTE increa_batteri	NUMERIC
@ATTRIBUTE speed_perform	NUMERIC
@ATTRIBUTE hotel_great	NUMERIC
@ATTRIBUTE full_size	NUMERIC
@ATTRIBUTE long_batteri	NUMERIC
@ATTRIBUTE great_room	NUMERIC
@ATTRIBUTE miss_turn	NUMERIC
@ATTRIBUTE room_servic	NUMERIC
@ATTRIBUTE good_servic	NUMERIC
@ATTRIBUTE ga_mileag	NUMERIC
@ATTRIBUTE room_small	NUMERIC
@ATTRIBUTE room_clean	NUMERIC
@ATTRIBUTE class 	{cluster_22,cluster_21,cluster_20}

@DATA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,cluster_22
0.0,0.0,0.15,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,cluster_20
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,cluster_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.23,0.0,0.0,cluster_22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.15,0.95,0.0,0.0,cluster_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_22
0.0,0.0,0.0,0.0,0.0,0.12,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.23,0.0,0.88,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_22
0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.23,0.0,0.13,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,cluster_22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.18,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,cluster_22
