@RELATION /home/niltonvasques/Documents/ufba/tcc/data/results/fcm-hitech

@ATTRIBUTE roulett	NUMERIC
@ATTRIBUTE collar	NUMERIC
@ATTRIBUTE supervisor	NUMERIC
@ATTRIBUTE map	NUMERIC
@ATTRIBUTE passeng	NUMERIC
@ATTRIBUTE squeez	NUMERIC
@ATTRIBUTE houghton	NUMERIC
@ATTRIBUTE bakersfield	NUMERIC
@ATTRIBUTE tanker	NUMERIC
@ATTRIBUTE hidalgo	NUMERIC
@ATTRIBUTE berg	NUMERIC
@ATTRIBUTE condron	NUMERIC
@ATTRIBUTE huse	NUMERIC
@ATTRIBUTE kushner	NUMERIC
@ATTRIBUTE boon	NUMERIC
@ATTRIBUTE naturalist	NUMERIC
@ATTRIBUTE philippin	NUMERIC
@ATTRIBUTE reaction	NUMERIC
@ATTRIBUTE taylor	NUMERIC
@ATTRIBUTE parriott	NUMERIC
@ATTRIBUTE class 	{cluster_7,cluster_8}

@DATA
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7
0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cluster_8
